loadstep,alpha,gamma,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,mean_F_rmse
20,1e-08,0.1,0.5,0.003021715626408619,0.046657817732883716,0.06849604467062684,0.15000605379815585,0.32256909268542155,0.18186897531778384,0.06287979397280158
30,1e-08,0.1,0.5,0.006035239896015752,0.0697251366750417,0.1064985191230318,0.3030043103450632,0.5890685461337917,0.36430015671297594,0.06287979397280158
40,1e-08,0.1,0.5,0.009184270765279409,0.09795510166232169,0.16804058911585804,0.5886495745179029,1.0903870792474362,0.7900471431341349,0.06287979397280158
10,1e-08,0.1,0.75,0.001507516203618876,0.023606795778058392,0.032238141012568326,0.0657681897926798,0.13996919127242832,0.0749059542253657,0.07557051773739615
20,1e-08,0.1,0.75,0.004481939834211143,0.04868765691002333,0.06316642493281316,0.15761954143561374,0.32013964929883343,0.1796036592137124,0.07557051773739615
30,1e-08,0.1,0.75,0.009021499120533082,0.09192702850474277,0.1334679363077489,0.4266963044457778,0.8378260645132461,0.5238596403234859,0.07557051773739615
40,1e-08,0.1,0.75,0.013761920628210028,0.13806058975676008,0.23263008448846834,0.8761301630604927,1.8112602887328557,1.3509515941250771,0.07557051773739615
10,1e-08,0.1,1.0,0.0019927554533118266,0.02071830776010396,0.02333244649903093,0.049896622349863445,0.10481908148932292,0.056253746973407605,0.0960607130926791
20,1e-08,0.1,1.0,0.005969151880767976,0.06063246144673448,0.07582976858690534,0.199789991144107,0.4090511845151363,0.2313864635310559,0.0960607130926791
30,1e-08,0.1,1.0,0.012020960062826122,0.12032092778783195,0.17320846206226923,0.5754911865029116,1.190043183710298,0.7557886186550145,0.0960607130926791
40,1e-08,0.1,1.0,0.018348417574904775,0.182571155376046,0.30783235171037804,1.188493247558212,2.792671546078823,2.1487247851379787,0.0960607130926791
10,1e-08,1.0,0.25,0.0007730775338217099,0.05381840801656227,0.08227849646280187,0.1651414798278126,0.3547938524244257,0.19030544183124276,0.05572943123168065
20,1e-08,1.0,0.25,0.0009187173363052247,0.05446016608309094,0.08765414494817261,0.17778696634103897,0.40166441656076657,0.22768380708251912,0.05572943123168065
30,1e-08,1.0,0.25,0.0012073480997704814,0.05567824127300787,0.09759249229801036,0.21425025358173644,0.4687286736329908,0.28704548870436325,0.05572943123168065
40,1e-08,1.0,0.25,0.001562845752920906,0.058960909554061504,0.1190391505989554,0.3014766161581816,0.5882813162788937,0.4275680270815074,0.05572943123168065
10,1e-08,1.0,0.5,0.0006528639466743297,0.03660053223152021,0.05561373095198965,0.11179563401246569,0.23969006004725227,0.12832225838827532,0.046836795645258
20,1e-08,1.0,0.5,0.0011983011197323618,0.04051520995254565,0.06358855817571364,0.14167594489702567,0.29912660002851366,0.16665167344961623,0.046836795645258
30,1e-08,1.0,0.5,0.001981999433946906,0.04910687008279899,0.08619960005401452,0.25683070001089264,0.4511905914622498,0.27716497567374965,0.046836795645258
40,1e-08,1.0,0.5,0.0027902793841958445,0.06112457031416714,0.13507883182774066,0.47744198056942366,0.7509228197794876,0.5917275316537324,0.046836795645258
10,1e-08,1.0,0.75,0.0006844877492791919,0.02129897076139585,0.031354924525125255,0.06467940358308875,0.1365910975576589,0.07256328442784804,0.04648910500113816
20,1e-08,1.0,0.75,0.0016583995769967807,0.03396192039383371,0.04981266892317956,0.13950091552927718,0.25767246557225726,0.13647254937867048,0.04648910500113816
30,1e-08,1.0,0.75,0.002892661754016395,0.05413474811819146,0.09389227366906922,0.35336402305354747,0.5643551695016461,0.3370627879356212,0.04648910500113816
40,1e-08,1.0,0.75,0.0041236029167627565,0.07656078073113164,0.1754473437225106,0.7009252257451305,1.1213942216428985,0.880172203694064,0.04648910500113816
10,1e-08,1.0,1.0,0.000851190525933056,0.015445472768093231,0.020896817133862645,0.047675211096047526,0.09608553384633968,0.04963237378760875,0.05542528409809458
20,1e-08,1.0,1.0,0.0021879516206537966,0.03875176238331078,0.05476112685572311,0.17438258116446073,0.3089043336341982,0.15858006950264147,0.05542528409809458
30,1e-08,1.0,1.0,0.0038438522649770815,0.06824459938140663,0.11706604077986282,0.47701126045695935,0.77278964577664,0.45066512548130727,0.05542528409809458
40,1e-08,1.0,1.0,0.0054861473519420565,0.09925930185956768,0.22797009860164358,0.9456912040322227,1.6425181045661188,1.2679068016569464,0.05542528409809458
10,1e-08,10.0,0.25,0.0007604039771561962,0.053832614934706605,0.0823151255007159,0.16514952108567182,0.3548060728399735,0.19031268417149788,0.0537817183583363
20,1e-08,10.0,0.25,0.0007581572953995219,0.053885640371036075,0.08706933772304273,0.17399014417024442,0.3969393957060606,0.22554728349159325,0.0537817183583363
30,1e-08,10.0,0.25,0.000752320772184475,0.053290711731946876,0.09363334605329252,0.18591613412819108,0.4423719049205979,0.26915273665095585,0.0537817183583363
40,1e-08,10.0,0.25,0.0007704175337047533,0.05411790639565564,0.10566122667782324,0.21598488093425278,0.5046203692421984,0.34352385217564246,0.0537817183583363
10,1e-08,10.0,0.5,0.0005474936798708658,0.03630678380355728,0.05541501929635079,0.11103891317389797,0.23839170451539327,0.12772972967224575,0.03703475648488907
20,1e-08,10.0,0.5,0.0005495023436859943,0.03647857421989225,0.0592176198208113,0.11822077425893517,0.2689971365507591,0.15340690082418812,0.03703475648488907
30,1e-08,10.0,0.5,0.0005513833990556094,0.03638867472938891,0.06722181753707024,0.1300488157415241,0.3133720548491404,0.20166119763394968,0.03703475648488907
40,1e-08,10.0,0.5,0.0006167744860514892,0.03896499318671784,0.08204572857388673,0.2151092787411612,0.40895772937022173,0.30742658766186737,0.03703475648488907
10,1e-08,10.0,0.75,0.0003839029347140527,0.01961654299983113,0.029946234951920357,0.0603932277661302,0.12891190661597607,0.06895669085954352,0.022541461718638172
20,1e-08,10.0,0.75,0.00039507985503889613,0.02019323675126765,0.034277908716007555,0.06808468101553079,0.1532532635193414,0.09053912489875642,0.022541461718638172
30,1e-08,10.0,0.75,0.00041195434479008686,0.021190177313807134,0.048707696333308646,0.08778450389565173,0.2239399661172225,0.16891392445746803,0.022541461718638172
40,1e-08,10.0,0.75,0.0005789535413235951,0.02916588980964678,0.07346124501777354,0.2626733118626061,0.42445016197097923,0.34503851759538134,0.022541461718638172
10,1e-08,10.0,1.0,0.0003480094967461685,0.009890857294811225,0.01572798883962692,0.03382229048326875,0.0694065887933312,0.036562300573633494,0.0166454952652172
20,1e-08,10.0,1.0,0.0003704163643671563,0.011614798247335575,0.024025933358123773,0.046783811804713485,0.10345991528474721,0.06882004770692317,0.0166454952652172
30,1e-08,10.0,1.0,0.00040377559680122063,0.014647998326919032,0.04819346539366223,0.08275977590758941,0.22940139077283245,0.1922959107665991,0.0166454952652172
40,1e-08,10.0,1.0,0.0006766627559877037,0.03042832719180297,0.08485960081370351,0.3378629102968877,0.5579679349419577,0.45104801963526026,0.0166454952652172
10,1e-08,30.0,0.25,0.0007762227032137239,0.05423358472303302,0.08299354697958286,0.16636789712081115,0.35745827551066667,0.19175083668299628,0.05412176821746649
20,1e-08,30.0,0.25,0.0007719667639407281,0.054220682267644864,0.08754705980195812,0.17489174607162075,0.399020292885593,0.22665222668288618,0.05412176821746649
30,1e-08,30.0,0.25,0.0007669803852161822,0.05366754847434473,0.09349530207802366,0.18746790144538023,0.44266563123585884,0.26629882989761533,0.05412176821746649
40,1e-08,30.0,0.25,0.0007788577366560112,0.05436525740484335,0.10570916808507994,0.2131221893340085,0.5020404223446486,0.33465833849476484,0.05412176821746649
10,1e-08,30.0,0.5,0.0005779048669950153,0.037291047228919856,0.05710809186042435,0.11390708262640702,0.24496325253605733,0.1314087485639395,0.03766090313591698
20,1e-08,30.0,0.5,0.0005724639431934842,0.03721545237717134,0.060142721504505406,0.11977248091142677,0.273258399848065,0.15535090358336467,0.03766090313591698
30,1e-08,30.0,0.5,0.0005731079842746768,0.03710512291119338,0.06507344887108862,0.13174886240128642,0.30617917395551153,0.18578241513317756,0.03766090313591698
40,1e-08,30.0,0.5,0.0006053795089111534,0.039031990026383356,0.07890797822905758,0.19991461820351947,0.38553251635570285,0.26735537018877403,0.03766090313591698
10,1e-08,30.0,0.75,0.00042087189398632325,0.021728641822996185,0.03362389331179926,0.06597361392820825,0.14279119913933477,0.07712910768349965,0.023325697224146666
20,1e-08,30.0,0.75,0.0004122910541031005,0.021494578943071028,0.03546869687931054,0.06920038629676782,0.15900598243329667,0.09178274291314202,0.023325697224146666
30,1e-08,30.0,0.75,0.00041973397254555314,0.022046988470651663,0.03992664317157177,0.08559051743690532,0.18565824070816964,0.11644526703860023,0.023325697224146666
40,1e-08,30.0,0.75,0.0005041620368292258,0.02803257965986778,0.061733570574248726,0.23313354204242867,0.3486969364200869,0.24691369732323926,0.023325697224146666
10,1e-08,30.0,1.0,0.00036331671106315327,0.013631460964914343,0.02208626277350545,0.04131964158168263,0.09153420151720112,0.05078917558790812,0.01709515653329314
20,1e-08,30.0,1.0,0.0003503420125242747,0.013075300014764965,0.024089501922482163,0.042898525781268536,0.10305750349681371,0.06346064165412388,0.01709515653329314
30,1e-08,30.0,1.0,0.000362533377104547,0.014423745087770496,0.028475684571572575,0.07047832147483146,0.13192771001126807,0.08764450779860082,0.01709515653329314
40,1e-08,30.0,1.0,0.0005193307257035522,0.027250120065722756,0.06264781394868288,0.2973061779260372,0.4181754740230926,0.28757615650225865,0.01709515653329314
10,1e-08,100.0,0.25,0.0008279677883250605,0.05664148285691671,0.08685434049725047,0.17420362134976036,0.3742455973328,0.2007723317126356,0.05635844775741824
20,1e-08,100.0,0.25,0.0008201251058727648,0.05645455590731017,0.09150280754273968,0.18236459017578066,0.41651962690399447,0.2369782608131099,0.05635844775741824
