method,loadstep,lambda_smooth,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,J_min,J_nonpositive_count,mean_F_rmse
mesh-laplacian,40,0.0001,0.75,4.815848262548323e-08,1.2656121762211556e-05,1.3884487816985238e-05,2.9220840035791156e-05,5.9447137204422555e-05,3.093856725614554e-05,0.9359125903526799,0,1.1218578855280684e-05
mesh-laplacian,50,0.0001,0.75,5.794280417274169e-08,1.5327079135810075e-05,1.7254050038585168e-05,3.693042397690539e-05,7.51139363329365e-05,3.9622683238825144e-05,0.9255813046183928,0,1.1218578855280684e-05
mesh-laplacian,60,0.0001,0.75,6.70279671073139e-08,1.782444710425242e-05,2.032406404192788e-05,4.603802645965078e-05,9.179737082210218e-05,4.831762798818652e-05,0.9078819328321414,0,1.1218578855280684e-05
mesh-laplacian,10,0.0001,1.0,2.0789519587016562e-08,5.665092075586791e-06,5.8245783626764254e-06,1.176606635194198e-05,2.371692637290673e-05,1.1971675156499031e-05,0.9660202829205422,0,1.4958105140407116e-05
mesh-laplacian,20,0.0001,1.0,3.610515280419247e-08,9.678627904156109e-06,1.0309886937765752e-05,2.1018597816165712e-05,4.2697119044424994e-05,2.1802672669114687e-05,0.9494853272169111,0,1.4958105140407116e-05
mesh-laplacian,30,0.0001,1.0,5.040521579773615e-08,1.332804685952652e-05,1.448385010695398e-05,2.9788713246847732e-05,6.079469524159275e-05,3.139171142971739e-05,0.9438450708764338,0,1.4958105140407116e-05
mesh-laplacian,40,0.0001,1.0,6.421131016733662e-08,1.6874829016278766e-05,1.8512701360575308e-05,3.896109574560693e-05,7.926353892873367e-05,4.125186742821388e-05,0.9359152155330133,0,1.4958105140407116e-05
mesh-laplacian,50,0.0001,1.0,7.725707223036511e-08,2.0436105514488747e-05,2.3005479250478455e-05,4.924040295016735e-05,0.00010015308421980404,5.28310545409979e-05,0.9255897091042599,0,1.4958105140407116e-05
mesh-laplacian,60,0.0001,1.0,8.937062280980035e-08,2.376592947240575e-05,2.7098871237365266e-05,6.138319799026194e-05,0.00012239775771495323,6.44247049854369e-05,0.907893024985092,0,1.4958105140407116e-05
mesh-laplacian,10,0.001,0.25,5.1273362359884865e-08,1.3904873855680645e-05,1.4260398530606444e-05,2.8804178931653224e-05,5.80616070291328e-05,2.9308539778471782e-05,0.9660501128729342,0,3.67135663865029e-05
mesh-laplacian,20,0.001,0.25,8.906790813150369e-08,2.3757390464260168e-05,2.5236005839319893e-05,5.144106634403531e-05,0.00010449711301896024,5.3361700265393685e-05,0.949519826056285,0,3.67135663865029e-05
mesh-laplacian,30,0.001,0.25,1.243622072653714e-07,3.2717401607820105e-05,3.54493998686232e-05,7.289612838188745e-05,0.00014876577308500885,7.682019581012086e-05,0.9438626223961823,0,3.67135663865029e-05
mesh-laplacian,40,0.001,0.25,1.5842510179176237e-07,4.142355062669627e-05,4.5306894661594154e-05,9.533274008230839e-05,0.0001939302656904777,0.00010093922793866666,0.93592956387366,0,3.67135663865029e-05
mesh-laplacian,50,0.001,0.25,1.905870056295653e-07,5.015802347856431e-05,5.629384054807271e-05,0.00012046956878631194,0.00024498525687978776,0.00012925044281844025,0.9256391535268395,0,3.67135663865029e-05
mesh-laplacian,60,0.001,0.25,2.204316167312249e-07,5.832015828599592e-05,6.630341922513741e-05,0.0001501753239752912,0.00029934676799033347,0.00015759182429423568,0.9079582914251618,0,3.67135663865029e-05
mesh-laplacian,10,0.001,0.5,1.0254672471975754e-07,2.7809747711390935e-05,2.8520997948124133e-05,5.760938970006986e-05,0.00011612547813270252,5.861786660900811e-05,0.9661004279684599,0,7.342713277299838e-05
mesh-laplacian,20,0.001,0.5,1.7813581626304324e-07,4.751478092848704e-05,5.0472677999104546e-05,0.00010288531205157726,0.00020900377196927185,0.00010672773369411134,0.9495782072085093,0,7.342713277299838e-05
mesh-laplacian,30,0.001,0.5,2.487244145306862e-07,6.543480321562008e-05,7.090011579689314e-05,0.00014579569001252606,0.0002975511533861771,0.00015365087683468824,0.9438926256647517,0,7.342713277299838e-05
mesh-laplacian,40,0.001,0.5,3.168502035835225e-07,8.284710125322227e-05,9.061622648909381e-05,0.00019066432190714837,0.0003878938305011832,0.00020189991259547395,0.9359543916736078,0,7.342713277299838e-05
